"","coname","locnum","staddr","stcity","state","zip","year","source","latitude","longitude","store_type","naics_6"
"1","Lamberts Rainbow Fruit","000479394","777 William T Morrissey Blvd","Dorchester","MA","02122",2021,"Data Axle","042.295527",-71.04868,"Fruit and Vegetable Markets","445230"
"2","Gaspar's Linguica Co Inc","000925115","384 Faunce Corner Rd","North Dartmouth","MA","02747",2021,"Data Axle","041.664947",-70.992194,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"3","Crescent Ridge","001466424","355 Bay Rd","Sharon","MA","02067",2021,"Data Axle","042.127456",-71.151281,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"4","Henry's Fine Foods","001778869","588 Cabot St # 1","Beverly","MA","01915",2021,"Data Axle","042.571595",-70.893783,"Supermarket or Other Grocery","445110"
"5","Compare Supermarket","001793363","157 Hawthorne St","Chelsea","MA","02150",2021,"Data Axle","042.396700",-71.0331,"Supermarket or Other Grocery","445110"
"6","Fruit Fair","001793785","398 Front St","Chicopee","MA","01013",2021,"Data Axle","042.147994",-72.601691,"Supermarket or Other Grocery","445110"
"7","Masses Fish Market Inc","001793843","1329 Memorial Dr","Chicopee","MA","01020",2021,"Data Axle","042.193820",-72.574922,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"8","7-ELEVEN","001794296","1224 Main St","Concord","MA","01742",2021,"Data Axle","042.456905",-71.392303,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"9","Paul W Marks Co Inc","001795988","8 Commercial St","Everett","MA","02149",2021,"Data Axle","042.392554",-71.053999,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"10","Donelans Supermarket-Lincoln","001802883","145 Lincoln Rd","Lincoln","MA","01773",2021,"Data Axle","042.414993",-71.32537,"Supermarket or Other Grocery","445110"
"11","Randall's Farm Inc","001803709","631 Center St","Ludlow","MA","01056",2021,"Data Axle","042.179614",-72.472804,"Fruit and Vegetable Markets","445230"
"12","Crosby's Marketplace","001805258","118 Washington St Ste 5","Marblehead","MA","01945",2021,"Data Axle","042.504414",-70.84923,"Supermarket or Other Grocery","445110"
"13","Waban Market","001810266","10 Windsor Rd","Waban","MA","02468",2021,"Data Axle","042.326991",-71.230766,"Supermarket or Other Grocery","445110"
"14","Steve's Quality Market","001815323","36 Margin St","Salem","MA","01970",2021,"Data Axle","042.519007",-70.896423,"Supermarket or Other Grocery","445110"
"15","Walgreens","001819473","51 Tremont St","Taunton","MA","02780",2021,"Data Axle","041.905610",-71.105221,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"16","Russo's","001822451","560 Pleasant St","Watertown","MA","02472",2021,"Data Axle","042.365992",-71.210539,"Fruit and Vegetable Markets","445230"
"17","Lees Super Mkt","001823863","796 Main Rd","Westport","MA","02790",2021,"Data Axle","041.580329",-71.089223,"Supermarket or Other Grocery","445110"
"18","Lamberts Rainbow Fruit","001823996","220 Providence Hwy","Westwood","MA","02090",2021,"Data Axle","042.218533",-71.180028,"Fruit and Vegetable Markets","445230"
"19","Lucci's Super Market Inc","001824903","223 Lowell St","Wilmington","MA","01887",2021,"Data Axle","042.558700",-71.1724,"Supermarket or Other Grocery","445110"
"20","Fairway Beef Co","001826551","48 Grafton St","Worcester","MA","01604",2021,"Data Axle","042.259723",-71.794081,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"21","Old Neighborhood","002673309","37 Waterhill St","Lynn","MA","01905",2021,"Data Axle","042.465044",-70.969349,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"22","Blood Farm","002673382","94 W Main St","West Groton","MA","01472",2021,"Data Axle","042.602900",-71.6274,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"23","J P Sullivan & Co","002679546","50 Barnum Rd","Ayer","MA","01432",2021,"Data Axle","042.551664",-71.574232,"Fruit and Vegetable Markets","445230"
"24","Super Stop & Shop","002979896","400 Lincoln St","Hingham","MA","02043",2021,"Data Axle","042.247681",-70.923834,"Supermarket or Other Grocery","445110"
"25","Roche Bros","002979995","338 Washington St","Westwood","MA","02090",2021,"Data Axle","042.216975",-71.188174,"Supermarket or Other Grocery","445110"
"26","Stop & Shop Supermarket","002980134","2991 Cranberry Hwy","East Wareham","MA","02538",2021,"Data Axle","041.759465",-70.664462,"Supermarket or Other Grocery","445110"
"27","Roche Bros","002980373","150 W Central St","Natick","MA","01760",2021,"Data Axle","042.282271",-71.376543,"Supermarket or Other Grocery","445110"
"28","CVS/PHARMACY","003311206","66 S Main St","Sharon","MA","02067",2021,"Data Axle","042.121473",-71.180085,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"29","Wilson Farm","004032884","10 Pleasant St","Lexington","MA","02421",2021,"Data Axle","042.424682",-71.205452,"Supermarket or Other Grocery","445110"
"30","Big Y","004467148","740 Main St","Great Barrington","MA","01230",2021,"Data Axle","042.188600",-73.352,"Supermarket or Other Grocery","445110"
"31","Whole Foods Market","004501771","647 Washington St","Newtonville","MA","02458",2021,"Data Axle","042.353646",-71.200109,"Supermarket or Other Grocery","445110"
