"store_id","state_id","city_name","store_name","store_website","street_address","postal_code","country_id","telephone","lat","lng"
3,"CA","Palm Desert","Trader Joe's Palm Desert (3)","https://locations.traderjoes.com/ca/palm-desert/3","44250 Town Center Way","92260","US","+1 760-340-2291","33.727280","-116.397760"
4,"CA","South Pasadena","Trader Joe's South Pasadena (Fair Oaks) (4)","https://locations.traderjoes.com/ca/south-pasadena/4","1129 Fair Oaks Ave","91030","US","+1 323-784-1840","34.112870","-118.151100"
5,"CA","La Habra","Trader Joe's La Habra (5)","https://locations.traderjoes.com/ca/la-habra/5","2101 W. Imperial Hwy","90631","US","+1 562-266-1428","33.918560","-117.969650"
6,"CA","Santa Monica","Trader Joe's Santa Monica (6)","https://locations.traderjoes.com/ca/santa-monica/6","3212 Pico Blvd","90405","US","+1 310-581-0253","34.026310","-118.455810"
7,"CA","Los Angeles","Trader Joe's West Los Angeles (7)","https://locations.traderjoes.com/ca/los-angeles/7","10850 National Blvd","90064","US","+1 310-470-1917","34.030180","-118.421410"
8,"CA","Fresno","Trader Joe's Fresno (8)","https://locations.traderjoes.com/ca/fresno/8","8478 N. Friant Road","93720","US","+1 559-433-6478","36.858030","-119.782640"
9,"CA","Modesto","Trader Joe's Modesto (9)","https://locations.traderjoes.com/ca/modesto/9","3250 Dale Road","95356","US","+1 209-491-0445","37.687960","-121.049420"
11,"CA","Brea","Trader Joe's Brea (11)","https://locations.traderjoes.com/ca/brea/11","2500 E Imperial Hwy","92821","US","+1 714-257-1180","33.910060","-117.865480"
13,"CA","Santa Clarita","Trader Joe's Valencia (13)","https://locations.traderjoes.com/ca/santa-clarita/13","26517 Bouquet Canyon Rd","91350","US","+1 661-263-3796","34.428470","-118.538140"
14,"CA","Bakersfield","Trader Joe's Bakersfield (14)","https://locations.traderjoes.com/ca/bakersfield/14","8200 Stockdale Hwy","93311","US","+1 661-837-8863","35.354670","-119.093420"
15,"CA","Riverside","Trader Joe's Riverside (15)","https://locations.traderjoes.com/ca/riverside/15","6225 Riverside Plaza","92506","US","+1 951-781-2378","33.955870","-117.388400"
16,"CA","San Clemente","Trader Joe's San Clemente (16)","https://locations.traderjoes.com/ca/san-clemente/16","638 Camino de Los Mares","92673","US","+1 949-240-9996","33.458820","-117.651370"
17,"CA","Los Angeles","Trader Joe's Silver Lake (17)","https://locations.traderjoes.com/ca/los-angeles/17","2738 Hyperion Ave","90027","US","+1 323-665-6774","34.107670","-118.271790"
18,"CA","S. Pasadena","Trader Joe's South Pasadena (18)","https://locations.traderjoes.com/ca/s-pasadena/18","613 Mission St","91030","US","+1 626-441-6263","34.115380","-118.162910"
19,"CA","San Francisco","Trader Joe's San Francisco - North Beach (19)","https://locations.traderjoes.com/ca/san-francisco/19","401 Bay St","94133","US","+1 415-351-1013","37.805430","-122.413880"
20,"CA","La Jolla","Trader Joe's La Jolla (20)","https://locations.traderjoes.com/ca/la-jolla/20","8657 Villa la Jolla Dr","92037","US","+1 858-546-8629","32.866250","-117.231920"
21,"CA","San Diego","Trader Joe's San Diego - Pacific Beach (21)","https://locations.traderjoes.com/ca/san-diego/21","1640 Garnet Ave","92109","US","+1 858-581-9101","32.800690","-117.240650"
22,"CA","Oceanside","Trader Joe's Oceanside (22)","https://locations.traderjoes.com/ca/oceanside/22","2570 Vista Way","92054","US","+1 760-433-9994","33.183360","-117.331730"
23,"CA","San Diego","Trader Joe's San Diego - Carmel Mtn Ranch (23)","https://locations.traderjoes.com/ca/san-diego/23","11955 Carmel Mountain Rd","92128","US","+1 858-673-0526","32.981970","-117.075020"
24,"CA","La Mesa","Trader Joe's La Mesa (24)","https://locations.traderjoes.com/ca/la-mesa/24","5495 Grossmont Center Dr","91942","US","+1 619-466-0105","32.779300","-117.005600"
25,"CA","Encinitas","Trader Joe's Encinitas (25)","https://locations.traderjoes.com/ca/encinitas/25","115 N El Camino Real","92024","US","+1 760-634-2114","33.048090","-117.259400"
26,"CA","San Diego","Trader Joe's San Diego - Hillcrest (26)","https://locations.traderjoes.com/ca/san-diego/26","1090 University Avenue","92103","US","+1 619-296-3122","32.748680","-117.153510"
27,"CA","Rancho Santa Margarita","Trader Joe's Rancho Santa Margarita (27)","https://locations.traderjoes.com/ca/rancho-santa-margarita/27","30652 Santa Margarita Pkwy","92688","US","+1 949-888-3640","33.642600","-117.595480"
28,"CA","San Dimas","Trader Joe's San Dimas (28)","https://locations.traderjoes.com/ca/san-dimas/28","856 W Arrow Hwy","91773","US","+1 909-305-4757","34.105600","-117.824010"
29,"CA","Torrance","Trader Joe's Torrance - Rolling Hills Plaza (29)","https://locations.traderjoes.com/ca/torrance/29","2545 Pacific Coast Hwy","90505","US","+1 310-326-9520","33.790860","-118.330190"
30,"CA","Simi Valley","Trader Joe's Simi Valley (30)","https://locations.traderjoes.com/ca/simi-valley/30","2975-A Cochran St","93065","US","+1 805-520-3135","34.281060","-118.738610"
31,"CA","Los Angeles","Trader Joe's Los Angeles (31)","https://locations.traderjoes.com/ca/los-angeles/31","263 S La Brea Ave","90036","US","+1 323-965-1989","34.069140","-118.344360"
