line,route,grade,geometry
ORANGE,Forest Hills to Oak Grove,1,"LINESTRING (-71.07723220988639 42.39853124594801, -71.07723372465871 42.39883129367209, -71.07723086140568 42.399378423664764, -71.07720354028643 42.40012992928818, -71.07720502459199 42.400228737874095, -71.07718187909522 42.40076591527988, -71.07710932097608 42.401862819051026, -71.07708765391806 42.40267884918487, -71.07709134370036 42.40272977000667, -71.0770169134985 42.40456410203231, -71.07699950664187 42.40524965440257, -71.07699401351363 42.40573687379601, -71.07695742499773 42.40702751442318, -71.07693200414064 42.40929503461252, -71.07693080812489 42.40933160586498, -71.07690169271557 42.410523681536795, -71.0768997350559 42.41061213841735)"
ORANGE,Forest Hills to Oak Grove,4,"LINESTRING (-71.07724496818429 42.39521634574442, -71.0772281620488 42.39772960697241, -71.07723220988639 42.39853124594801)"
ORANGE,Forest Hills to Oak Grove,1,"LINESTRING (-71.06613018178271 42.37154830073609, -71.06662671570459 42.371891809106046, -71.0679562940583 42.37272815568537, -71.06842498648912 42.372997536216026, -71.06880241526743 42.37318716116824, -71.0692162740868 42.37335302135331, -71.06936463114992 42.373458137948006, -71.06953325086315 42.37354540367988, -71.07130463422605 42.37434369045896, -71.07171415611506 42.37455732521038, -71.07191070379878 42.37468651780703, -71.07264497838612 42.37513736197693, -71.07285345909061 42.37529049806062, -71.07362698902845 42.37589682963572, -71.07421558476535 42.3764457147746, -71.07451952252427 42.37678441868022, -71.0761966681115 42.3787374900143, -71.0763481158167 42.378910150901085, -71.07645246887274 42.37905395873007, -71.07654167244863 42.3792136403513, -71.07662446075346 42.379368524051266, -71.07667533808328 42.379473885317346, -71.07676416951468 42.3796893443201, -71.07683774236921 42.3799366127398, -71.07688169419481 42.38011366243191, -71.07691687746495 42.38031617504339, -71.07693928508972 42.380501111216894, -71.07695309331325 42.380686014829905, -71.07696478311256 42.380866131018955, -71.0769699399036 42.38105896855228, -71.07697509791402 42.38125180964684, -71.07693340461836 42.38330735038176, -71.07693192977727 42.38417105088838, -71.07692725675784 42.38583311590344, -71.076935899995 42.38614707942827, -71.07693759028935 42.38717971393971, -71.07700382149376 42.3890492233954, -71.07701335926538 42.38968235746455, -71.07701834718787 42.38996573724146, -71.07701554649799 42.39038438921096, -71.07702239661577 42.3909051903202, -71.07703099970685 42.39116305577893, -71.07705652050501 42.39146693114124, -71.07709750675785 42.391874925199595, -71.07714688489962 42.39237351217594, -71.07719838240914 42.39291234768037, -71.07723974034519 42.39342306062906, -71.07725202925371 42.39364519825238, -71.07725615411474 42.394058767996555, -71.0772455906709 42.39512325257411, -71.07724496818429 42.39521634574442)"
GREEN,C - Cleveland Circle,2,"LINESTRING (-71.14928663075139 42.33613675527361, -71.14578370341513 42.33692743025061, -71.14435379103138 42.33721516902152, -71.14313567318963 42.33746853985467, -71.14264990113388 42.337574865085585, -71.14215260847283 42.33767357913851, -71.14108116896618 42.33789515431144, -71.14019429356705 42.33809697498465, -71.13879528146974 42.33843402603454, -71.13769618996936 42.33869748495934, -71.13631907089545 42.33903322085834, -71.1360685440711 42.33909068681635, -71.13583991600687 42.33914957741099, -71.13565693944744 42.33920997166999, -71.13555677112859 42.33924759513665, -71.13536707673018 42.339327457139035, -71.13519284756342 42.33938992567447, -71.13501455218227 42.33944639681212, -71.13480788976112 42.3394958741394, -71.13461601159258 42.33952764075815, -71.13433291312614 42.339562187831085, -71.13411054385524 42.3395868001505, -71.13375346926514 42.33960768792699, -71.13343747337125 42.33961616274417, -71.13315735428985 42.33962202597774, -71.13246406215653 42.33961441000929, -71.13200018628314 42.339614281114486, -71.1317280165597 42.33962289599704, -71.1314576664257 42.339632866494746, -71.13121104779704 42.33964427281959, -71.13097901039067 42.33966114068442, -71.1307758772199 42.339679111027124, -71.1304924453677 42.339708549235496, -71.1302242631256 42.339744074066154, -71.1299336436845 42.339783786218746, -71.1296777310167 42.339823608534815, -71.12946929055128 42.339864942724454, -71.12924985776783 42.339911653633685, -71.12903404672602 42.33996380008983, -71.1287981323853 42.3400185928712, -71.12854024250477 42.3400827951485, -71.12830427039265 42.34014706770877, -71.12806277897533 42.34021809753465, -71.12784687032078 42.34028649527991, -71.12766203867882 42.34035093654104, -71.12736737121824 42.3404570192511, -71.12713125398417 42.340545677809494, -71.12693539657725 42.34062091447566, -71.12671208160002 42.34070555249578, -71.12656198991152 42.340761969762035, -71.12643018969956 42.3408130292312, -71.12625630026024 42.34087885424205, -71.12608060015499 42.34094196320808, -71.1259067820989 42.34099559169014, -71.12555737682452 42.34109200977533, -71.12530675183268 42.34116300407327, -71.12505430874401 42.341231282003186, -71.12466107205577 42.34132754992748, -71.1244343071626 42.34137829702694, -71.12430705746108 42.34140865862841, -71.1240289083489 42.34146851634861, -71.12355846333438 42.34156544988129, -71.12308937860493 42.34167071457748, -71.1222104348408 42.34188850912742, -71.12174021924783 42.34202524325695, -71.12151883343941 42.34209090574179, -71.1213651690228 42.34213240104123, -71.12121700911672 42.342169849486304, -71.1210561247969 42.34219777302984, -71.12092455255309 42.34220953194965, -71.12080028002467 42.34222267423317, -71.12066683864312 42.34224255721614, -71.12054064903293 42.34227059450042, -71.11725123835788 42.34319322346364, -71.1145582154134 42.343940266053245, -71.11344332957314 42.34423219488632, -71.1128868266513 42.34437999680662, -71.11061801796306 42.34501604185547, -71.10996724506134 42.34519502145383, -71.1095390682932 42.34531791814735, -71.10771206319019 42.345820762425056, -71.10756201683999 42.34586496243952, -71.1074283809914 42.34591328309977, -71.10728374042662 42.34596969384573, -71.10714641519351 42.34602477358701, -71.10697621401181 42.34607839034116, -71.10671089918362 42.34615471547753, -71.10552344942946 42.34648531008919, -71.10551825248565 42.34648669041524)"
GREEN,D E,4,"LINESTRING (-71.06490012009918 42.365788752165045, -71.06541361362194 42.36597227544134, -71.06558848176121 42.36603483626293, -71.06576339391728 42.366091212026944, -71.0659012939879 42.366129769756526, -71.06610306246996 42.36617548699258, -71.06634804886579 42.366234213940125, -71.06657574739674 42.36628859254791, -71.06679120423762 42.366340634275964, -71.06700502840465 42.36640333967435, -71.06715769825784 42.366457564279074, -71.0672936439251 42.36651585090161, -71.06892721256324 42.367337885522595, -71.07245417494508 42.369137119054955, -71.07444527650132 42.37015145088178, -71.07466713610415 42.37026369640962, -71.07493853939336 42.37039237120286, -71.07513756827325 42.37051146637921, -71.07535428948843 42.3706711322534, -71.07555871483018 42.37085817415341, -71.0757510989105 42.37104823858435, -71.0759933696077 42.37126390795511, -71.07616405633836 42.37139976192722, -71.07634496836873 42.37151743327139, -71.0765095301243 42.37162190622844, -71.07678005398188 42.3717722108689, -71.07710041069944 42.371904399723256, -71.07776311017834 42.37219423095483, -71.07799990194252 42.37228449296625, -71.07882123624883 42.37268291809188, -71.07916281547776 42.372875509748575, -71.07976724230564 42.37325474680832, -71.07990497812105 42.373342858581864, -71.07990709151017 42.373344210430965, -71.08027337219883 42.37357875227079, -71.08044500432926 42.37369594566344, -71.08064331349334 42.37385968182986, -71.0807737664818 42.37397641399028, -71.08088540755958 42.374095143617545)"
BLUE,Bowdoin to Wonderland,1,"MULTILINESTRING ((-71.02521774003249 42.37861373501176, -71.02521504180827 42.37861601602124, -71.02514562455842 42.37866855842976, -71.02497999118499 42.37878343385863, -71.02485921671176 42.378855571267486, -71.02464901898732 42.37897521373357, -71.0244144385191 42.37907989756042, -71.02412409699231 42.37919755661236, -71.02211451966275 42.379943660040034, -71.0219135655123 42.38001711601115, -71.02170378283849 42.38008062455508, -71.02155653213812 42.38011963034715, -71.02143833319236 42.380143901168914, -71.02133130639656 42.38016326764561, -71.02119753954024 42.3801858223021, -71.02105714054137 42.38020174919403, -71.02088778824763 42.380219201066254, -71.02071178278865 42.3802316742636, -71.02044006733676 42.380240447835206, -71.0185765593043 42.380216158033875, -71.01844072908384 42.380217239770445, -71.01821798417458 42.380227863284325, -71.01801743980948 42.38024682962502, -71.01778343525363 42.3802739164276, -71.01756938501785 42.380312637114976, -71.01730416926046 42.380373858847896, -71.01706705228774 42.38043791317514, -71.01682980826205 42.380517735035255, -71.01661910850277 42.38060358642555, -71.01640295035993 42.38070715110542, -71.01621341786186 42.380806887651666, -71.01605319999327 42.38089689087386, -71.01587946381078 42.38101640333458, -71.01566552573466 42.38117714337822, -71.0121085697044 42.38382075383745, -71.01119177221433 42.38450801177662, -71.01099176232945 42.384648031727416, -71.01086281898165 42.38472869319117, -71.01069720613762 42.38482654890814, -71.01057715361318 42.38489499585121, -71.01041322681981 42.38497573843808, -71.01027020495242 42.38504116588088, -71.01006768514516 42.385121743726025, -71.00460913944396 42.38690277723888, -71.00413996379304 42.38706055730271, -71.00343385576204 42.38729605232755), (-71.00343384280275 42.387297702516335, -71.00178383420918 42.38783296158045, -71.0013578426963 42.38797070496907, -71.00083991080858 42.388146836851845, -71.00051970262209 42.388270312677975, -71.00028474467145 42.38836442771649, -70.99972124079775 42.388622414272355, -70.99941966166777 42.388779926895424, -70.9990645380778 42.38899224203502, -70.99878487171624 42.389168936319514, -70.99861203788456 42.3892828205644, -70.99844575814978 42.38939423571242, -70.99825579681853 42.38953409278358, -70.99799919886763 42.38972681095077, -70.99786602781077 42.389830533582256, -70.99773979502106 42.38993513356329, -70.99762803411306 42.390029130843075, -70.9975063342193 42.390139231275306, -70.99733807877006 42.390299122989106, -70.99703540863715 42.39061630053544, -70.9968570408012 42.39081363172549, -70.99677611358493 42.390907758500994, -70.99670344806496 42.39099735239919, -70.99658920785285 42.39114467356575, -70.99643126106088 42.39135885315129, -70.99633236089157 42.39150684529705, -70.99597700470626 42.39202056430088, -70.99516605868807 42.39327040728625, -70.99488921871249 42.39368582367045, -70.993390279304 42.39594796001591, -70.9927394288877 42.39694305158145, -70.99227330803558 42.39763743060529, -70.99217754625481 42.39778482968582, -70.99207963344693 42.3979444054533, -70.99200670953915 42.398064473483494, -70.99193161511246 42.39819825041287, -70.99187313029525 42.39831228355095, -70.99180835253341 42.39844153247685, -70.99175135111946 42.398569673274174, -70.9916931685454 42.3987031367191, -70.99160495037997 42.39893438167854, -70.99154809286384 42.39910176285671, -70.99150772650262 42.39926311924786, -70.99146386673455 42.39945676696157, -70.99144151396747 42.39957066059187, -70.99143254434321 42.39966357998314, -70.99141024336927 42.3998798768927, -70.99139448047214 42.400050486161646, -70.99139362225176 42.40015715994075, -70.99139495048838 42.400247072873036, -70.99139597946485 42.40037508728324, -70.99141045442347 42.40062050344474, -70.99142361969304 42.40077295482668, -70.99195436858923 42.40432145939956, -70.99205141855906 42.40489352550788, -70.99214041479247 42.40547893237007, -70.99245257079953 42.40750066131588, -70.99260065561124 42.40849468424064, -70.992647611242 42.40882077965247, -70.99268942702375 42.40915508007938, -70.99270524585643 42.40940134142997, -70.99270311131792 42.40966730200137, -70.99269283830607 42.40985606424139, -70.99267681695336 42.410116210740675, -70.99264917906196 42.410434132144374, -70.9926102044318 42.41073620716886, -70.99254597287893 42.411139979396125, -70.99248205946216 42.41146393558379, -70.99241024782442 42.411730030803874, -70.99233573401234 42.41198578961124, -70.99225586021521 42.41221467464041, -70.99215926664944 42.41244349035812, -70.99205993525676 42.412666094526465, -70.99191833279774 42.41294633724523, -70.99154447950342 42.413719040639094))"
GREEN,E - Health Street,2,"LINESTRING (-71.10456788826562 42.33422727714237, -71.10456372369019 42.33422866457032, -71.10408824024421 42.33442095836826, -71.10389380973535 42.33450005188289, -71.10376912245505 42.33455123420432, -71.1035408325716 42.33465210552398, -71.10335065510539 42.334726519539345, -71.10314564637257 42.33481183052315, -71.10291537564439 42.334892365132056, -71.10249221039108 42.33503438242269, -71.10146203085596 42.33538155277787, -71.10119798857859 42.33546821763931, -71.10087891014308 42.33559066290966, -71.10063381935956 42.33568052258086, -71.10043306240925 42.335759587373666, -71.09994633048804 42.33598661857143, -71.0997457409032 42.33607538608202, -71.09920300091294 42.33626829250905, -71.09867261573814 42.33646975806017, -71.09532935142948 42.337784293369126, -71.09312501008583 42.338663288154194, -71.0925585892768 42.33888962343684, -71.09201529179329 42.33907881991388, -71.09097974002528 42.33948924000212, -71.0908529903479 42.33956702533374, -71.090529588357 42.33970037500501, -71.08905007091944 42.340290970184306, -71.08816587342034 42.340643987314905, -71.08744783161325 42.34091734461108)"
ORANGE,Forest Hills to Oak Grove,7,"LINESTRING (-71.08375675769504 42.34131397387392, -71.08372449930548 42.34133866192791, -71.0835100811996 42.34147742896584, -71.08325502634212 42.34162392499185, -71.07675680098372 42.34687389991543, -71.07644923804737 42.34712235356197, -71.07630797240992 42.3472380238848, -71.07617518721764 42.347333430908854, -71.0760453444375 42.34741819097257, -71.07593003859444 42.3474774308472, -71.07579191062703 42.34751314726351, -71.07564234403712 42.34754029916267, -71.07544407156931 42.34754809484387, -71.07356784193445 42.34760936440323)"
RED,A - Ashmont  C - Alewife,1,"LINESTRING (-71.06619250238094 42.29739176955893, -71.06619228918808 42.29739226752996, -71.0660321186303 42.29766240957027, -71.06586649213266 42.29790315298529, -71.0656867124255 42.29814594037728, -71.06545319342331 42.29839271963389, -71.06518004193393 42.29864564426322, -71.06498961953517 42.29879184368285, -71.06465442694058 42.29902144751042, -71.06439324591717 42.29917786903385, -71.06418610217958 42.29928832568017, -71.06389963391896 42.299421561037576, -71.06366432849416 42.29951511743095, -71.06344892611781 42.29959195562046, -71.0631401018713 42.29968732927835, -71.06274356917538 42.2997907618843, -71.06130475981847 42.30016097323182, -71.06103571083112 42.300227106349396, -71.06082337597749 42.30026826971054, -71.06059419969748 42.30029258034668, -71.0603990381091 42.300304427233684, -71.06000594982123 42.300317617331544, -71.05951677301893 42.300326234249994, -71.05844793675138 42.30033425966615, -71.05803650249928 42.30035142025959, -71.05786427535013 42.30036354015403, -71.0576596609056 42.300391501947665, -71.05745498047922 42.300429051329246, -71.05722954076317 42.30048881272995, -71.0570490982797 42.300548889403444, -71.05690300255853 42.3006023451118, -71.05673531964311 42.300681037429726, -71.05659625633402 42.30075959147638, -71.05649003695159 42.30082638905641, -71.05633182780018 42.300933549800114, -71.0562082588912 42.301036357922655, -71.05611286722716 42.30113157806771, -71.05604865209857 42.301212637125545, -71.05597688898403 42.30131454498217, -71.05592496975841 42.30140151064886, -71.05588688694905 42.30148487005176, -71.05586271709824 42.30155509470533, -71.05584229999549 42.301651710890674, -71.05582576576771 42.30175858842211, -71.05581699957766 42.30188308065602, -71.05582698763685 42.30270938008182, -71.05583948819353 42.30289694949808, -71.05583245507685 42.30305514489419, -71.05581738100159 42.30323528284695, -71.05577426346969 42.3034739094091, -71.05572537523102 42.303690543582505, -71.05566457414666 42.30391738428649, -71.05539681926099 42.30494917145873, -71.05509890815617 42.30605849381832, -71.05484528452223 42.30704199417899, -71.0545748997811 42.30816313429773, -71.05451800847865 42.30839438645579, -71.05440836071526 42.30883053054057, -71.05435957713051 42.309031049866206, -71.05431119237996 42.30917589701789, -71.05417846899196 42.309524052299444, -71.0541382957294 42.30962351736504, -71.05396763963974 42.3100330535437, -71.0537049659929 42.310616568934826, -71.05353076406807 42.31096895937611, -71.05336473307706 42.31128182303419, -71.05325635992091 42.311487890090476, -71.05313629975335 42.311765849198196, -71.05267259968863 42.312862796373224, -71.05247958246285 42.31336161314338, -71.05241294469576 42.313573774844805, -71.0523622043766 42.31377135325776, -71.05225627780383 42.31423534665815, -71.05221507387563 42.31447984161856, -71.05218543672753 42.31476247059823, -71.05217359863344 42.3150407754571, -71.05216821891406 42.31524292483117, -71.05216876351419 42.31544509638344, -71.05225821264163 42.31759020416269, -71.05226849564765 42.31843101351726, -71.05228627753148 42.31878502082985, -71.05233026123804 42.31918595382133, -71.05253581857652 42.320346216317766, -71.05261258812907 42.32093544264801, -71.05269242237718 42.32189977105258, -71.05271318316059 42.32200145498451, -71.05275159179598 42.322163639204994, -71.05278960349436 42.322257193926966, -71.05283619823943 42.32236934977597, -71.05300745506574 42.32269703743899, -71.05307301572165 42.322822350079846)"
SILVER,SL4 SL5,3,"LINESTRING (-71.0811952926762 42.332700768047, -71.08127192510621 42.33254379997383, -71.08144757834509 42.33230944296203, -71.08174981771793 42.33197797419429, -71.0819884204434 42.331746593948445, -71.08272996567054 42.331080027864914, -71.08304857127315 42.33079259174552, -71.08316213537822 42.330703677251094, -71.08333688988962 42.330603990044544, -71.08398467397461 42.33034701707046, -71.08417692526508 42.330229548979595, -71.0843103359677 42.330093861895215, -71.08443941046941 42.32992552328258, -71.0844030470206 42.32985750870438, -71.08431484589458 42.32981141068452, -71.08423382102316 42.32979367444922, -71.08413541047442 42.32976743499354, -71.0840020621888 42.329749509291766, -71.08373560691683 42.329705780701744, -71.08371931371673 42.32970403365178)"
